Column,Query,Value
ndcg15,1,0.3392
ndcg15,2,1
ndcg15,3,0.1909
ndcg15,4,0.1964
ndcg15,5,0.0979
ndcg15,6,0.5833
ndcg15,7,0.5422
ndcg15,8,0.4367
ndcg15,9,0.1012
ndcg15,10,0.6606
ndcg15,11,0.5892
ndcg15,12,0.5531
ndcg15,13,0.2074
ndcg15,14,0.2314
ndcg15,15,0.1546
ndcg15,16,0.1153
ndcg15,17,0.2366
ndcg15,18,0.0654
ndcg15,19,0.3653
ndcg15,20,0.7654
ndcg15,21,0.2967
ndcg15,22,0.5915
ndcg15,23,0.1681
ndcg15,24,0.2429
ndcg15,25,0.4449
ndcg15,26,0.669
ndcg15,27,0.4594
ndcg15,28,0.8688
ndcg15,29,0.3276
ndcg15,30,0.1391
ndcg15,31,1
ndcg15,32,0.7654
ndcg15,33,0.3155
ndcg15,36,0.2734
ndcg15,37,0.1964
ndcg15,38,0.2441
ndcg15,39,0.3536
ndcg15,40,0.1635
ndcg15,42,0
ndcg15,43,0.3981
ndcg15,44,0.3883
ndcg15,45,0.4562
ndcg15,48,0
ndcg15,49,0.4125
ndcg15,57,1
ndcg15,58,0.4386
ndcg15,59,0.5327
ndcg15,60,0.3097
ndcg15,61,0.5867
ndcg15,62,0
ndcg15,63,0.4616
